api_version,kind,status,name,name_hash,signature,source_owner,compatibility
88.3,Function,-,LL_ADC_CommonDeInit,0x6ebe5189,ErrorStatus LL_ADC_CommonDeInit(ADC_Common_TypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_adc.h,disabled
88.3,Function,-,LL_ADC_CommonInit,0xaf02d8e0,"ErrorStatus LL_ADC_CommonInit(ADC_Common_TypeDef*, const LL_ADC_CommonInitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_adc.h,disabled
88.3,Function,-,LL_ADC_CommonStructInit,0x54a4c525,void LL_ADC_CommonStructInit(LL_ADC_CommonInitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_adc.h,disabled
88.3,Function,-,LL_ADC_DeInit,0x0699a2c0,ErrorStatus LL_ADC_DeInit(ADC_TypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_adc.h,disabled
88.3,Function,-,LL_ADC_INJ_Init,0xc78f2737,"ErrorStatus LL_ADC_INJ_Init(ADC_TypeDef*, const LL_ADC_INJ_InitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_adc.h,disabled
88.3,Function,-,LL_ADC_INJ_StructInit,0x0dbe38bc,void LL_ADC_INJ_StructInit(LL_ADC_INJ_InitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_adc.h,disabled
88.3,Function,-,LL_ADC_Init,0x029a7057,"ErrorStatus LL_ADC_Init(ADC_TypeDef*, const LL_ADC_InitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_adc.h,disabled
88.3,Function,-,LL_ADC_REG_Init,0x5a140674,"ErrorStatus LL_ADC_REG_Init(ADC_TypeDef*, const LL_ADC_REG_InitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_adc.h,disabled
88.3,Function,-,LL_ADC_REG_StructInit,0xc5ced1b9,void LL_ADC_REG_StructInit(LL_ADC_REG_InitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_adc.h,disabled
88.3,Function,-,LL_ADC_StructInit,0x1fa3d9dc,void LL_ADC_StructInit(LL_ADC_InitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_adc.h,disabled
88.3,Function,-,LL_COMP_DeInit,0x994d3687,ErrorStatus LL_COMP_DeInit(COMP_TypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_comp.h,disabled
88.3,Function,+,LL_COMP_Init,0x45f8665e,"ErrorStatus LL_COMP_Init(COMP_TypeDef*, const LL_COMP_InitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_comp.h,supported
88.3,Function,-,LL_COMP_StructInit,0x45f9f923,void LL_COMP_StructInit(LL_COMP_InitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_comp.h,disabled
88.3,Function,-,LL_CRC_DeInit,0x6d7cf310,ErrorStatus LL_CRC_DeInit(CRC_TypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_crc.h,disabled
88.3,Function,-,LL_CRS_DeInit,0x319a4120,ErrorStatus LL_CRS_DeInit(),lib/stm32wb_hal/Inc/stm32wbxx_ll_crs.h,disabled
88.3,Function,+,LL_DMA_DeInit,0x5295a56a,"ErrorStatus LL_DMA_DeInit(DMA_TypeDef*, uint32_t)",lib/stm32wb_hal/Inc/stm32wbxx_ll_dma.h,supported
88.3,Function,+,LL_DMA_Init,0x7781c081,"ErrorStatus LL_DMA_Init(DMA_TypeDef*, uint32_t, LL_DMA_InitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_dma.h,supported
88.3,Function,-,LL_DMA_StructInit,0x39d52186,void LL_DMA_StructInit(LL_DMA_InitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_dma.h,disabled
88.3,Function,-,LL_EXTI_DeInit,0x82000012,ErrorStatus LL_EXTI_DeInit(),lib/stm32wb_hal/Inc/stm32wbxx_ll_exti.h,disabled
